UOM_ID,UOM_NAME,UOM_ISO,UOM_SAP,UOM_DIMENSION,UOM_NUMERATOR,UOM_DENOMINATOR,UOM_ROUNDING,UOM_BASE
134,Percentage ( % ),P1,P1,17,1,100,0,false
135,Specific Electrical Resistance ( Ohmm ),C61,OM,18,1,1,0,true
136,Specific Heat Capacity ( J/kgK ),B11,JKK,19,1,1,0,true
137,Mol/kilogram ( mol/kg ),C19,MOK,20,1,1,0,true
138,Becquerel/kilogram ( Bq/kg ),A18,BQK,21,1,1,0,false
139,Kilobecquerel/kilogram ( kBq/kg ),B25,KBK,22,1000,1,0,false
140,Joule/Kilogram ( J/kg ),J2,JKG,23,1,1,0,true
141,Kilojoule/kilogram ( KJ/kg ),B42,KJK,24,1000,1,0,false
142,Centimeter/second ( cm/s ),2M,2M,25,1,100,0,false
143,Kilometer/hour ( km/h ),KMH,KMH,26,277778,1000000,0,false
144,Meter/Minute ( m/min ),2X,2X,27,1666667,100000000,0,false
145,Meter/second ( m/s ),MTS,M/S,28,1,1,0,true
146,Millimeter/second ( mm/s ),C16,MMS,29,1,1000,0,false
147,Millinewton/meter ( mN/m ),C22,MNM,30,1,1000,0,false
148,Newton/meter ( N/m ),4P,NM,31,1,1,0,true
149,Degrees Celsius ( °C ),CEL,GC,32,27415,100,0,false
150,Fahrenheit ( °F ),FAH,FA,33,2559278,10000,0,false
151,Kelvin ( K ),KEL,K,34,1,1,0,true
152,Days ( Days ),DAY,TAG,35,86400,1,0,false
153,Hour ( h ),HUR,H,36,3600,1,0,false
154,Microsecond ( µs ),B98,MIS,37,1,1000000,0,false
155,Millisecond ( ms ),C26,MS,38,1,1000,0,false
156,Minute ( min ),MIN,MIN,39,60,1,0,false
157,Months ( Months ),MON,MON,1,2629700,1,0,false
158,Nanosecond ( ns ),C47,NS,2,1,1000000000,0,false
159,Second ( s ),SEC,S,3,1,1,0,true
160,Weeks ( Weeks ),WEE,WCH,4,604800,1,0,false
161,Years ( yr ),ANN,JHR,5,31556950,1,0,false
162,Centiliter ( Cl ),CLT,CTL,6,1,100,0,false
163,Cubic centimeter ( cm3 ),CMQ,CCM,7,1,1000,0,false
164,Cubic decimeter ( dm3 ),DMQ,CDM,8,1,1,0,false
165,Cubic foot ( ft3 ),FTQ,FT3,9,28316846,1000000000,0,false
166,Cubic inch ( Inch3 ),INQ,IN3,10,16387,1000000000,0,false
167,Cubic meter ( m3 ),MTQ,M3,11,1,1,0,true
168,Cubic millimeter ( mm3 ),MMQ,MMQ,12,1,1000000000,0,false
169,Cubic yard ( yd3 ),YDQ,YD3,13,764554857,1000000000,0,false
170,Fluid Ounce US ( foz US ),OZA,OZA,14,29573,1000000000,0,false
171,Hectoliter ( hl ),HLT,HL,15,1,10,0,false
172,Liter ( l ),LTR,L,16,1,1000,0,false
173,Microliter ( µl ),4G,4G,17,1,1000000000,0,false
174,Milliliter ( ml ),MLT,ML,18,1,1000000,0,false
175,Pint US liquid ( pt US ),PT,PT,19,55061,100000000,0,false
176,Quart US liquid ( qt US ),QTL,QT,20,110122,100000000,0,false
177,US gallon ( gal US ),GLL,GLL,21,440488,100000000,0,false
178,Cubic centimeter/second ( cm3/s ),2J,C3S,22,1,1000000,0,false
179,Cubic meter/Hour ( m3/h ),MQH,MQH,23,277778,1000000000,0,false
180,Cubic meter/day ( m3/d ),G52,M3D,24,6666672,1000000000,0,false
181,Cubic meter/second ( m3/s ),MQS,M3S,25,1,1,0,true
182,Liter per hour ( L/hr ),E32,LPH,26,2778,10000000000,0,false
183,Liter/Minute ( l/min ),L2,L2,27,1667,100000000,0,false
