PURCHASEINVOICE_ID,PURCHASEINVOICE_NUMBER,PURCHASEINVOICE_DATE,PURCHASEINVOICE_DUE,PURCHASEINVOICE_SUPPLIER,PURCHASEINVOICE_CURRENCY,PURCHASEINVOICE_CONDITIONS,PURCHASEINVOICE_PAYMENTMETHOD,PURCHASEINVOICE_SENTMETHOD,PURCHASEINVOICE_PURCHASEINVOICESTATUS,PURCHASEINVOICE_OPERATOR,PURCHASEINVOICE_COMPANY,PURCHASEINVOICE_UUID,PURCHASEINVOICE_NET,PURCHASEINVOICE_GROSS,PURCHASEINVOICE_VAT,PURCHASEINVOICE_TOTAL,PURCHASEINVOICE_NAME
14,PI00000014,2024-04-02,2025-01-09,9,30,1GHTu53PurrmfWgFyTcFg4kQNVwuXvitam,1,2,6,10,6,d5261fd9-ec35-4e02-9f25-51e98e719c07,1694.60,2033.52,406.70,2439.22,PI00000014/2024-04-02/2439.22
15,PI00000015,2024-03-25,2024-02-23,10,30,1FSSfXbFFgmKnmJFMhEbsbqfmu9jtvKMT5,2,2,5,3,2,8b7f9ac6-4d49-44db-9257-41ef86f8c3f7,2423.74,2908.49,581.70,3489.19,PI00000015/2024-03-25/3489.19
16,PI00000016,2024-02-17,2024-04-17,10,30,1F7MEiCs9QhaybSmh9E9EqweeP5GGup36F,1,2,6,2,7,39f6e077-63f8-42f5-8a82-08f20497d663,1297.97,1557.57,311.51,1869.08,PI00000016/2024-02-17/1869.08
17,PI00000017,2024-02-28,2024-01-27,4,30,1F4H9B1ZLUov7HmwcJrPZSwKe6w546AcQu,1,1,3,5,2,cf5a6516-f5a2-45b5-9c18-55dd7975fc12,1881.14,2257.37,451.47,2708.84,PI00000017/2024-02-28/2708.84
18,PI00000018,2024-04-04,2024-03-30,3,30,14QhteQC8WQjsvUoDQkqaYj5d2NscPS6EW,2,1,4,3,10,34f70a33-1201-4c08-af17-b298c1b900d0,1914.35,2297.22,459.44,2756.66,PI00000018/2024-04-04/2756.66
19,PI00000019,2024-01-30,2024-04-25,3,30,1Jusw1UTRG52i39kMTRaCSu5xdkTgTLn68,2,2,2,4,1,1c1b23bc-116f-4ae2-9861-1938d8df0f37,2091.58,2509.90,501.98,3011.88,PI00000019/2024-01-30/3011.88
20,PI00000020,2024-04-25,2024-01-16,8,30,12GAJM89bYBqvQmQZKRTSnKnhNFjo6X3vg,3,2,1,6,6,9db090ae-d5cc-4fb0-8971-31a45e6c16e3,2094.62,2513.55,502.71,3016.26,PI00000020/2024-04-25/3016.26
21,PI00000021,2024-02-16,2024-04-25,1,30,15Su1xveeqErY1fCzd1o84LBay7fzephmM,2,2,6,1,8,3fbd3755-3c3f-4f9a-bab8-1b7e9e7d2d5b,1634.14,1960.97,392.19,2353.16,PI00000021/2024-02-16/2353.16
22,PI00000022,2024-03-08,2025-01-18,4,30,1dCGdn2B6AZ7topMUvcUA164jELHiJCpd,3,2,1,6,1,e928dc30-8608-4c79-88a5-c4fbf52c33cb,2093.30,2511.96,502.39,3014.35,PI00000022/2024-03-08/3014.35
23,PI00000023,2024-02-05,2024-04-04,1,30,18SdYENUkMXeG3fzbp7dDmn8d2j3N7XYJR,3,1,6,4,4,7c63f35d-0fcf-4394-94d3-5979d16a0529,2233.91,2680.69,536.14,3216.83,PI00000023/2024-02-05/3216.83
24,PI00000024,2024-03-27,2024-02-14,2,30,15H5hmXH47ifBuse2kvo8HxFp55WdoTR3M,1,2,3,5,5,b53f1e3a-d2d6-4df7-b800-d37470c0e154,2158.26,2589.91,517.98,3107.89,PI00000024/2024-03-27/3107.89
25,PI00000025,2024-01-06,2024-04-12,8,30,1PDzdZyqSdtGKv6gjx7LZUDMpURj9yPvwn,2,1,6,5,9,ab9612b6-0f16-450d-8f19-59a51fc539d6,2447.97,2937.56,587.51,3525.07,PI00000025/2024-01-06/3525.07
26,PI00000026,2024-02-20,2024-04-14,7,30,1La7gpLL5NAjaX4CbjFPEUnpGCHeNjTLkc,3,2,4,4,3,3cd4dc19-1646-4512-8a11-f5c1f048b0d7,2370.69,2844.83,568.97,3413.80,PI00000026/2024-02-20/3413.80
27,PI00000027,2024-02-03,2024-01-22,10,30,19mDnk4XM6yLeiBqfnz9u3RfqFVeDRxx4N,1,2,1,4,6,4f18210b-8fd1-40e2-bb38-84a1f0d17f08,2452.56,2943.07,588.61,3531.68,PI00000027/2024-02-03/3531.68
28,PI00000028,2024-02-21,2024-03-03,8,30,1NLqL5Hr4fwsvkERtiBzWi14TrxTHNMGFj,3,2,5,2,5,47a22d70-73c3-4db4-b1d7-e61ebdb487d1,2397.77,2877.32,575.46,3452.78,PI00000028/2024-02-21/3452.78
29,PI00000029,2024-04-23,2024-04-22,2,30,1KWVQUGm8FzrMcAAWDNbeFmy7K8WCn2yBD,4,2,2,9,4,1392e96d-2036-4d3b-bd09-c3e9cd51d754,1250.68,1500.81,300.16,1800.97,PI00000029/2024-04-23/1800.97
